Time/Date,Tickers,Headlines
09-Jan-2025 06:07,AMZN,AMZN moves on headline cross-asset flows
01/02/2025 07:38 AM,$ AAPL $AAPL,Analysts weigh in on AAPL ahead of macro data
2023/01/04 08:01:20, $CRM ,"CRM moves on headline cross-asset flows
( wire )"
2024/10/12 15:41:51, $UBER ,Traders debate valuation for UBER into quarter-end
23-Jul-2023 15:33,uber ,Traders debate valuation for UBER into quarter-end
2024-05-31 09:09:08,$ LYFT $LYFT,LYFT options implied volatility elevated
"Jan 11, 2023 07:33:48", $META ,META sees block trade interest — sources
2023-05-01 14:55:23, $CRM ,CRM sees block trade interest — sources
2020-05-01 10:00:00, $META ,META sees block trade interest — sources
14-Apr-2024 13:16,msft ,Funds trim exposure to MSFT after sector read-across
"Apr 21, 2023 11:18:35", $AMZN ,"Traders debate valuation for AMZN into quarter-end
( wire )"
"Apr 16, 2023 12:13:17", $LYFT ,LYFT active in premarket as volume spikes
2023-08-06 07:56:53, $LYFT ,LYFT sees block trade interest — sources
2023-01-29T07:11:03,$ UBER $UBER,Sector rotation lifts UBER in late trade
"Feb 16, 2024 16:39:35",$ZZTOP,AAPL sees block trade interest — sources
26-Jan-2023 15:38, $LYFT ,Funds trim exposure to LYFT after sector read-across
2024-01-05 15:07:31, $GOOGL ,GOOGL active in premarket as volume spikes
2023-09-17 14:56:55, $LYFT ,LYFT options implied volatility elevated
04/23/2023 02:16 PM,$ UBER $UBER,Traders debate valuation for UBER into quarter-end
2025-03-14 12:48:57,$ LYFT $LYFT,LYFT options implied volatility elevated
2024-09-03 08:01:25,uber ,Traders debate valuation for UBER into quarter-end
"Dec 23, 2023 07:45:14", $AMZN ,Analysts weigh in on AMZN ahead of macro data
2024-05-08T14:03:33, $UBER ,Funds trim exposure to UBER after sector read-across
2024/06/17 06:52:57,$ CRM $CRM,CRM active in premarket as volume spikes
2024-11-16 13:56:48,$ META $META,Analysts weigh in on META ahead of macro data
"Sep 11, 2023 13:07:02",lyft ,LYFT active in premarket as volume spikes
2023-10-06 11:45:16,$ GOOGL $GOOGL,GOOGL active in premarket as volume spikes
20-Jan-2023 13:10,crm ,Analysts weigh in on CRM ahead of macro data
2023-09-26 11:58:07, $TSLA ,TSLA sees block trade interest — sources
2024-06-05T14:50:53, $ABNB ,ABNB sees block trade interest — sources
10/13/2024 01:56 PM,$ MSFT $MSFT,Analysts weigh in on MSFT ahead of macro data
2023-06-13 13:02:37,$UBER / $UBER,Traders debate valuation for UBER into quarter-end
2023-08-13T08:42:20,googl ,Analysts weigh in on GOOGL ahead of macro data
2020-05-01T10:00:00,$AAPL,AAPL sees block trade interest — sources
2024-02-28 09:36:39, $ABNB ,Sector rotation lifts ABNB in late trade
2024-12-17 06:43:05,$LYFT / $TSLA,LYFT sees block trade interest — sources
2024-10-20 08:25:42,$ AMZN $AMZN,Funds trim exposure to AMZN after sector read-across
2023-10-02 15:00:07,ABNB,ABNB options implied volatility elevated
2025/03/25 16:00:01,$ TSLA $TSLA,Traders debate valuation for TSLA into quarter-end
10/12/2024 03:40 PM,AAPL,AAPL moves on headline cross-asset flows
2023-11-22T08:20:54,$UBER / $GOOGL,UBER options implied volatility elevated
2023-09-24T14:13:41,CRM,CRM sees block trade interest — sources
2024-01-06 15:19:23,$TSLA / $TSLA,Analysts weigh in on TSLA ahead of macro data
"Mar 07, 2024 08:09:07", $CRM ,Analysts weigh in on CRM ahead of macro data
08/21/2023 09:10 AM,$ GOOGL $GOOGL,Traders debate valuation for GOOGL into quarter-end
"Feb 07, 2025 09:35:51", $CRM ,Analysts weigh in on CRM ahead of macro data
04/18/2023 11:40 AM,amzn ,Analysts weigh in on AMZN ahead of macro data
"Aug 23, 2023 14:33:26", $CRM ,Funds trim exposure to CRM after sector read-across
2024-05-22 13:39:26, $META ,Traders debate valuation for META into quarter-end
02/26/2023 10:02 AM,MSFT,MSFT sees block trade interest — sources
2024-08-16 13:53:31,CRM,CRM active in premarket as volume spikes
2024-10-28 09:02:12, $AMZN ,Funds trim exposure to AMZN after sector read-across
2024-12-18 10:27:42, $META ,META options implied volatility elevated
"Jul 08, 2024 10:26:39", $MSFT ,Analysts weigh in on MSFT ahead of macro data
2023-01-28T06:09:16,$GOOGL,GOOGL sees block trade interest — sources
31-Oct-2023 12:12, $LYFT ,LYFT active in premarket as volume spikes
2023-11-19T16:37:42,$AMZN,"AMZN active in premarket as volume spikes
( wire )"
06-May-2024 14:07,$ AMZN $AMZN,Analysts weigh in on AMZN ahead of macro data
2024-06-09 11:27:26,$ GOOGL $GOOGL,Traders debate valuation for GOOGL into quarter-end
2020-05-01 10:00:00,$ZZTOP,Analysts weigh in on CRM ahead of macro data
2024-05-28 10:16:49,$ AMZN $AMZN,Traders debate valuation for AMZN into quarter-end
12/11/2024 10:39 AM,$ GOOGL $GOOGL,  Sector rotation lifts GOOGL in late trade  
2023-08-04 10:35:20,$ZZTOP,LYFT moves on headline cross-asset flows
2023/09/16 16:34:11, $CRM ,Funds trim exposure to CRM after sector read-across
05/26/2024 12:10 PM,$ZZTOP,"""CRM sees block trade interest — sources"""
10/23/2023 07:29 AM, $ABNB ,ABNB sees block trade interest — sources
04/04/2024 08:50 AM, $GOOGL ,Funds trim exposure to GOOGL after sector read-across
09-Jan-2024 11:40,$META / $TSLA,Traders debate valuation for META into quarter-end
2025-01-17 12:41:05, $META ,META sees block trade interest — sources
20-Mar-2025 07:59,$ UBER $UBER,UBER active in premarket as volume spikes
"May 04, 2023 12:31:43",$UBER,Analysts weigh in on UBER ahead of macro data
"Jun 28, 2023 06:45:57", $UBER ,Traders debate valuation for UBER into quarter-end
17-Apr-2023 08:22, $AMZN ,AMZN sees block trade interest — sources
12-May-2024 10:38,aapl ,Funds trim exposure to AAPL after sector read-across
2023-06-05 15:12:47, $AMZN ,AMZN sees block trade interest — sources
"Jul 30, 2024 08:08:43",$CRM / $AAPL,CRM moves on headline cross-asset flows
2023-01-12 07:42:22, $TSLA ,Analysts weigh in on TSLA ahead of macro data
2023-10-20 10:01:51, $MSFT ,Funds trim exposure to MSFT after sector read-across
2023-02-10 07:39:45, $MSFT ,Analysts weigh in on MSFT ahead of macro data
15-Feb-2025 16:30, $MSFT ,MSFT moves on headline cross-asset flows
"Jun 20, 2023 15:23:00",$META,META moves on headline cross-asset flows
2024/12/31 08:04:06, $AMZN ,AMZN sees block trade interest — sources
2023/03/13 10:22:40, $META ,Sector rotation lifts META in late trade
2023-11-07T16:14:28,$ MSFT $MSFT,Sector rotation lifts MSFT in late trade
2023-10-07T10:09:50, $UBER ,Traders debate valuation for UBER into quarter-end
2023-11-05 12:19:00,lyft ,LYFT active in premarket as volume spikes
2023-09-02T14:05:21,AMZN,AMZN sees block trade interest — sources
2023/02/03 07:10:38,$ MSFT $MSFT,MSFT active in premarket as volume spikes
2023-04-23 15:40:50, $GOOGL ,GOOGL moves on headline cross-asset flows
"Apr 30, 2023 10:57:40", $AMZN ,AMZN active in premarket as volume spikes
29-Jul-2024 06:54,$ ABNB $ABNB,ABNB sees block trade interest — sources
2024-06-29 11:44:57,$META / $MSFT,Funds trim exposure to META after sector read-across
11-Jun-2024 10:53, $ABNB ,"ABNB active in premarket as volume spikes
( wire )"
2025-03-23 13:29:00, $ABNB ,Funds trim exposure to ABNB after sector read-across
2024/08/11 14:08:46, $GOOGL ,GOOGL sees block trade interest — sources
2023/03/21 12:53:13,AAPL,Traders debate valuation for AAPL into quarter-end
2024-06-11T11:48:22,$ GOOGL $GOOGL,Traders debate valuation for GOOGL into quarter-end
2024-03-24 06:39:20,$ZZTOP,AAPL options implied volatility elevated
2023/07/11 07:30:55,$ AMZN $AMZN,Traders debate valuation for AMZN into quarter-end
2024/06/03 07:20:32, $LYFT ,LYFT options implied volatility elevated
2020-05-01 10:00:00,$ AMZN $AMZN,Analysts weigh in on AMZN ahead of macro data
10/13/2024 10:52 AM, $ABNB ,
2023-03-28 12:31:00,GOOGL,Traders debate valuation for GOOGL into quarter-end
"Aug 07, 2024 15:10:42", $META ,META sees block trade interest — sources
05-Oct-2023 15:35, $GOOGL ,GOOGL options implied volatility elevated
08-Aug-2024 08:06, $META ,META moves on headline cross-asset flows
2024/09/25 08:13:00, $MSFT ,MSFT active in premarket as volume spikes
08/03/2023 02:25 PM,$ MSFT $MSFT,MSFT moves on headline cross-asset flows
03-Oct-2024 07:30,$ZZTOP,LYFT options implied volatility elevated
2025-01-27 11:01:49, $TSLA ,Analysts weigh in on TSLA ahead of macro data
2023-03-22T14:17:49,amzn ,Funds trim exposure to AMZN after sector read-across
2024-02-29 09:21:50,TSLA,TSLA moves on headline cross-asset flows
01/12/2025 06:03 AM,$AMZN / $UBER,Analysts weigh in on AMZN ahead of macro data
"May 29, 2024 14:31:32", $UBER ,"""Funds trim exposure to UBER after sector read-across"""
2024-08-24 10:38:03,UBER,UBER moves on headline cross-asset flows
2024-10-20 16:36:41, $UBER ,Analysts weigh in on UBER ahead of macro data
2023-08-04T14:15:19,$ META $META,"""Analysts weigh in on META ahead of macro data"""
2023-08-21 15:02:50, $CRM ,CRM active in premarket as volume spikes
2024-10-23 11:49:06,$ZZTOP,UBER active in premarket as volume spikes
17-Apr-2023 12:31, $AMZN ,Sector rotation lifts AMZN in late trade
2023/11/09 06:41:06,googl ,"""GOOGL sees block trade interest — sources"""
2024-05-08 10:46:10,$AMZN / $GOOGL,AMZN active in premarket as volume spikes
"Aug 30, 2024 07:45:36", $LYFT ,Funds trim exposure to LYFT after sector read-across
13-Dec-2024 12:12, $GOOGL ,
2025-01-29 09:54:22,$ META $META,META active in premarket as volume spikes
09-Nov-2023 13:53,AAPL,AAPL active in premarket as volume spikes
2024-01-11 13:03:42,$UBER,UBER options implied volatility elevated
03/02/2025 06:35 AM,$TSLA,Traders debate valuation for TSLA into quarter-end
"Nov 29, 2023 15:13:49",aapl ,Analysts weigh in on AAPL ahead of macro data
12/27/2023 03:29 PM,META,Funds trim exposure to META after sector read-across
06/04/2024 02:45 PM, $AMZN ,AMZN active in premarket as volume spikes
2025-02-15 13:04:24, $AMZN ,AMZN sees block trade interest — sources
2020-05-01 10:00:00,$CRM / $MSFT,CRM sees block trade interest — sources
22-Feb-2024 12:23, $LYFT ,LYFT active in premarket as volume spikes
2023-09-05T09:33:28,$ZZTOP,TSLA sees block trade interest — sources
2020-05-01 10:00:00,$AMZN / $TSLA,Traders debate valuation for AMZN into quarter-end
02-Mar-2025 15:29,msft ,MSFT moves on headline cross-asset flows
2025-03-31T08:19:29, $TSLA ,TSLA active in premarket as volume spikes
"May 01, 2020 10:00:00", $GOOGL ,GOOGL active in premarket as volume spikes
11/09/2023 11:51 AM, $LYFT ,LYFT moves on headline cross-asset flows
2023/04/24 08:29:22,AMZN,AMZN sees block trade interest — sources
2024-11-14T07:50:52,tsla ,TSLA moves on headline cross-asset flows
23-Feb-2023 14:16,$AAPL / $AMZN,"AAPL options implied volatility elevated
( wire )"
2023-11-23 14:56:29,$ AMZN $AMZN,Funds trim exposure to AMZN after sector read-across
2025-01-01 10:11:47, $ABNB ,Analysts weigh in on ABNB ahead of macro data
"Jun 25, 2024 12:16:22",$ LYFT $LYFT,Analysts weigh in on LYFT ahead of macro data
"Jun 20, 2024 07:03:35", $TSLA ,TSLA sees block trade interest — sources
2023-05-30T16:01:30,TSLA,Analysts weigh in on TSLA ahead of macro data
2025-02-14 06:48:18, $CRM ,CRM active in premarket as volume spikes
2024-07-31 12:32:13, $AAPL ,Analysts weigh in on AAPL ahead of macro data
01/07/2024 11:16 AM, $UBER ,Traders debate valuation for UBER into quarter-end
2025-03-18T15:36:53,googl ,GOOGL options implied volatility elevated
2023/11/07 11:10:54,amzn ,AMZN moves on headline cross-asset flows
2024-10-17 14:08:35, $LYFT ,LYFT options implied volatility elevated
2024-03-25 06:29:47, $META ,META sees block trade interest — sources
2024-06-07 11:34:20, $ABNB ,Traders debate valuation for ABNB into quarter-end
05-Nov-2023 10:16, $GOOGL ,
2023/04/08 07:34:38,$TSLA,TSLA moves on headline cross-asset flows
2023-03-05 09:20:01,$ TSLA $TSLA,TSLA options implied volatility elevated
24-Jun-2024 14:07,$META,Sector rotation lifts META in late trade
2023-06-18 09:50:32,uber ,Traders debate valuation for UBER into quarter-end
2023-07-18T14:11:18, $ABNB ,ABNB sees block trade interest — sources
06/18/2023 03:56 PM, $AMZN ,  AMZN moves on headline cross-asset flows  
02/23/2023 11:50 AM, $MSFT ,MSFT sees block trade interest — sources
21-Dec-2023 08:22,meta ,Traders debate valuation for META into quarter-end
13-Apr-2024 16:09,$ LYFT $LYFT,LYFT options implied volatility elevated
2023-11-25 16:05:38, $META ,META options implied volatility elevated
2024-11-27 06:13:24, $MSFT ,  Traders debate valuation for MSFT into quarter-end  
2023-07-12 16:42:22,$ META $META,"Sector rotation lifts META in late trade
( wire )"
04/26/2023 11:08 AM,$ META $META,Analysts weigh in on META ahead of macro data
03-Jun-2024 08:59,AMZN,AMZN sees block trade interest — sources
2023/04/07 13:17:25,AMZN,AMZN active in premarket as volume spikes
2023/11/08 07:53:24,$ LYFT $LYFT,Traders debate valuation for LYFT into quarter-end
"Apr 29, 2024 10:15:35", $UBER ,Funds trim exposure to UBER after sector read-across
2023-07-05 10:51:28, $CRM ,Traders debate valuation for CRM into quarter-end
2023-06-07T06:00:55, $TSLA ,TSLA moves on headline cross-asset flows
2023-07-26T15:34:49, $LYFT ,Funds trim exposure to LYFT after sector read-across
09/14/2023 07:03 AM,MSFT,Sector rotation lifts MSFT in late trade
2024-06-29 11:12:49,$TSLA,Funds trim exposure to TSLA after sector read-across
2024-04-11 14:38:33,UBER,Funds trim exposure to UBER after sector read-across
2023-12-02T08:00:30,$MSFT,"MSFT active in premarket as volume spikes
( wire )"
2024-10-31 11:25:07,uber ,Analysts weigh in on UBER ahead of macro data
"Feb 14, 2023 09:44:39", $ABNB ,ABNB active in premarket as volume spikes
2023-08-08T06:11:39, $UBER ,Traders debate valuation for UBER into quarter-end
2023-10-19 14:46:31,$ MSFT $MSFT,Funds trim exposure to MSFT after sector read-across
2023-10-25T09:19:07, $AAPL ,AAPL options implied volatility elevated
17-Oct-2023 09:57, $META ,Funds trim exposure to META after sector read-across
2024-10-18 12:58:51,crm ,Traders debate valuation for CRM into quarter-end
2023-05-10 15:48:17, $ABNB ,Traders debate valuation for ABNB into quarter-end
2023-01-04 06:38:44, $AAPL ,Funds trim exposure to AAPL after sector read-across
2024/12/27 09:39:45, $TSLA ,TSLA options implied volatility elevated
01-Jun-2024 16:28, $ABNB ,ABNB moves on headline cross-asset flows
2023-01-01 11:27:01,$ GOOGL $GOOGL,Funds trim exposure to GOOGL after sector read-across
2023-12-11T13:32:52,$LYFT / $LYFT,Analysts weigh in on LYFT ahead of macro data
"Apr 03, 2024 06:05:26",$ MSFT $MSFT,MSFT active in premarket as volume spikes
2023-10-13T16:05:55,uber ,UBER options implied volatility elevated
"Oct 04, 2024 14:58:54", $LYFT ,LYFT options implied volatility elevated
2020/05/01 10:00:00,$UBER,Sector rotation lifts UBER in late trade
"Dec 13, 2024 12:06:42", $AMZN ,AMZN sees block trade interest — sources
"Mar 04, 2023 13:08:02", $AMZN ,AMZN moves on headline cross-asset flows
01-Nov-2024 11:13,$ AAPL $AAPL,AAPL sees block trade interest — sources
"May 01, 2020 10:00:00", $ABNB ,ABNB moves on headline cross-asset flows
10-Feb-2023 09:15,$GOOGL,Sector rotation lifts GOOGL in late trade
2020/05/01 10:00:00, $GOOGL ,Sector rotation lifts GOOGL in late trade
02/22/2025 06:40 AM,$TSLA,TSLA moves on headline cross-asset flows
"Sep 11, 2023 10:48:37", $META ,META sees block trade interest — sources
2025-01-11 08:09:37, $UBER ,Analysts weigh in on UBER ahead of macro data
2024-12-20 11:51:26, $AMZN ,Analysts weigh in on AMZN ahead of macro data
2025-01-23 13:18:31, $TSLA ,
2023-11-25 15:50:54,$ ABNB $ABNB,ABNB active in premarket as volume spikes
01/11/2023 04:40 PM,$ MSFT $MSFT,Traders debate valuation for MSFT into quarter-end
"May 26, 2024 12:14:17",$ AAPL $AAPL,Sector rotation lifts AAPL in late trade
"Mar 29, 2025 08:16:02", $AAPL ,AAPL active in premarket as volume spikes
2020-05-01 10:00:00,msft ,Sector rotation lifts MSFT in late trade
2023-10-21 16:28:58, $CRM ,CRM sees block trade interest — sources
2024-01-29 14:44:25,ABNB,Funds trim exposure to ABNB after sector read-across
26-Mar-2024 08:12,$ AMZN $AMZN,AMZN sees block trade interest — sources
2025-02-25T11:36:45,$AAPL / $GOOGL,Funds trim exposure to AAPL after sector read-across
2024/01/02 12:58:47, $UBER ,Sector rotation lifts UBER in late trade
10-Jun-2023 10:19,$AAPL,Traders debate valuation for AAPL into quarter-end
2023-06-01 16:59:55,crm ,CRM active in premarket as volume spikes
2023/10/11 10:54:35,crm ,CRM active in premarket as volume spikes
2024-08-25 06:05:42, $META ,META sees block trade interest — sources
2024-06-28T10:34:30,$ UBER $UBER,UBER options implied volatility elevated
2024-05-06 10:56:14,$LYFT / $META,"""Funds trim exposure to LYFT after sector read-across"""
2023/02/24 16:24:14,$ GOOGL $GOOGL,"""GOOGL active in premarket as volume spikes"""
2024-11-04 11:14:51, $AAPL ,  AAPL moves on headline cross-asset flows  
2023/02/06 15:04:15, $CRM ,CRM sees block trade interest — sources
2024-02-16 15:28:03, $META ,META active in premarket as volume spikes
"Jun 26, 2023 08:39:11", $ABNB ,ABNB active in premarket as volume spikes
2024-06-24 13:32:00,$META / $LYFT,"Sector rotation lifts META in late trade
( wire )"
2024/08/10 10:38:16, $GOOGL ,Traders debate valuation for GOOGL into quarter-end
2024-02-15T07:37:44,$ UBER $UBER,Funds trim exposure to UBER after sector read-across
2024-08-19 15:05:37,$ AMZN $AMZN,AMZN sees block trade interest — sources
"May 01, 2020 10:00:00",$CRM,CRM moves on headline cross-asset flows
2024-12-16 15:46:58,uber ,UBER moves on headline cross-asset flows
2024-07-01T07:36:13, $UBER ,UBER sees block trade interest — sources
06-Jan-2025 09:46,abnb ,Funds trim exposure to ABNB after sector read-across
2023-07-30 12:05:58, $UBER ,Funds trim exposure to UBER after sector read-across
09/12/2024 07:29 AM,$AMZN / $LYFT,Analysts weigh in on AMZN ahead of macro data
2024-02-29T14:14:39, $ABNB ,ABNB sees block trade interest — sources
2023/03/01 10:20:08,ABNB,Sector rotation lifts ABNB in late trade
2025-03-11 07:35:54, $LYFT ,Funds trim exposure to LYFT after sector read-across
2024/08/29 15:00:46, $ABNB ,Analysts weigh in on ABNB ahead of macro data
02/14/2024 03:16 PM,$ZZTOP,  LYFT options implied volatility elevated  
2024-07-15 15:15:25,amzn ,AMZN moves on headline cross-asset flows
2023-03-02 13:13:47,CRM,CRM active in premarket as volume spikes
04/01/2024 12:02 PM, $AAPL ,Funds trim exposure to AAPL after sector read-across
2024-09-19 10:15:31, $AAPL ,AAPL active in premarket as volume spikes
2023-12-21 08:19:42,$ZZTOP,Traders debate valuation for AAPL into quarter-end
2024-02-25 12:32:01,$ MSFT $MSFT,Traders debate valuation for MSFT into quarter-end
"Sep 15, 2023 09:32:37", $ABNB ,Sector rotation lifts ABNB in late trade
2024-08-21 10:02:53,$UBER / $MSFT,  Analysts weigh in on UBER ahead of macro data  
2024-04-28 12:24:34, $GOOGL ,GOOGL moves on headline cross-asset flows
21-Mar-2025 08:36, $MSFT ,Analysts weigh in on MSFT ahead of macro data
2025-01-14 16:43:22,MSFT,Analysts weigh in on MSFT ahead of macro data
2023-11-25 16:08:58, $GOOGL ,Traders debate valuation for GOOGL into quarter-end
28-Apr-2024 15:37, $ABNB ,Analysts weigh in on ABNB ahead of macro data
2023/09/09 13:21:28,$ LYFT $LYFT,"""LYFT moves on headline cross-asset flows"""
2024-06-18 12:58:30, $CRM ,CRM active in premarket as volume spikes
05/17/2023 12:17 PM,$ ABNB $ABNB,ABNB moves on headline cross-asset flows
2023-02-20T12:36:35, $AAPL ,Traders debate valuation for AAPL into quarter-end
"Jan 13, 2025 13:47:11", $ABNB ,ABNB options implied volatility elevated
2023-04-16 07:31:07,LYFT,LYFT options implied volatility elevated
08/24/2024 08:22 AM, $GOOGL ,GOOGL active in premarket as volume spikes
2023-01-13 16:41:28,$ META $META,Analysts weigh in on META ahead of macro data
2024-09-24 13:23:37, $AAPL ,Sector rotation lifts AAPL in late trade
"Apr 23, 2024 06:29:48", $MSFT ,Funds trim exposure to MSFT after sector read-across
2024-02-05 12:39:18,$ GOOGL $GOOGL,GOOGL moves on headline cross-asset flows
"May 01, 2020 10:00:00",$META / $CRM,META active in premarket as volume spikes
29-Jun-2023 07:23,GOOGL,Sector rotation lifts GOOGL in late trade
2024/09/29 15:45:07,$ META $META,META options implied volatility elevated
2023-11-05 09:45:33, $AMZN ,Funds trim exposure to AMZN after sector read-across
2024/05/09 06:55:10, $AMZN ,Analysts weigh in on AMZN ahead of macro data
2024-10-30T13:57:16, $MSFT ,Traders debate valuation for MSFT into quarter-end
2025-03-31 11:49:07, $META ,Sector rotation lifts META in late trade
2024-01-04 07:32:59, $ABNB ,Analysts weigh in on ABNB ahead of macro data
2023/02/02 09:59:10,$ LYFT $LYFT,Funds trim exposure to LYFT after sector read-across
10-Jul-2023 12:27, $GOOGL ,"""GOOGL options implied volatility elevated"""
2023-06-24 11:36:55, $TSLA ,Traders debate valuation for TSLA into quarter-end
"Sep 15, 2023 10:35:23",$ AMZN $AMZN,AMZN moves on headline cross-asset flows
2023-07-25 07:36:52,$ZZTOP,ABNB sees block trade interest — sources
2024-05-26T16:01:14,$ GOOGL $GOOGL,GOOGL moves on headline cross-asset flows
09-Feb-2024 15:23,$ MSFT $MSFT,MSFT options implied volatility elevated
2024-05-31T16:36:59, $AAPL ,Sector rotation lifts AAPL in late trade
19-Oct-2023 07:26,$CRM / $GOOGL,"""CRM active in premarket as volume spikes"""
2025-03-08 13:27:37,$AMZN / $MSFT,AMZN sees block trade interest — sources
2023-09-28T09:41:24,CRM,Analysts weigh in on CRM ahead of macro data
2023-05-18 12:40:08, $ABNB ,Traders debate valuation for ABNB into quarter-end
20-Apr-2024 16:37,$ZZTOP,Funds trim exposure to ABNB after sector read-across
2024-09-25 10:43:43,UBER,
16-Aug-2024 06:53, $CRM ,
04/02/2023 07:25 AM,$AAPL,Funds trim exposure to AAPL after sector read-across
"Apr 06, 2023 14:02:39",$META / $MSFT,META active in premarket as volume spikes
"May 13, 2023 09:10:00", $TSLA ,TSLA moves on headline cross-asset flows
09/19/2024 11:44 AM,$CRM,CRM options implied volatility elevated
06-Mar-2025 13:08,$ AMZN $AMZN,AMZN moves on headline cross-asset flows
"Jan 31, 2024 07:30:36",$ZZTOP,GOOGL sees block trade interest — sources
2024-10-03 14:54:11, $META ,Funds trim exposure to META after sector read-across
"May 07, 2023 13:25:38",$AAPL / $GOOGL,AAPL sees block trade interest — sources
11/30/2023 01:10 PM,$ UBER $UBER,  UBER options implied volatility elevated  
2024/08/22 16:01:03, $AMZN ,AMZN active in premarket as volume spikes
2024/05/17 11:49:33,$ZZTOP,Sector rotation lifts ABNB in late trade
2024-08-26 15:35:14, $LYFT ,Analysts weigh in on LYFT ahead of macro data
2024-05-22T07:22:45,$ABNB / $TSLA,Traders debate valuation for ABNB into quarter-end
02/23/2023 09:23 AM, $MSFT ,MSFT sees block trade interest — sources
24-Nov-2023 16:25,$LYFT / $AMZN,LYFT moves on headline cross-asset flows
2023-07-31 16:05:44, $META ,META moves on headline cross-asset flows
2023-10-10T08:25:22,$ AAPL $AAPL,AAPL options implied volatility elevated
2025-01-24 16:01:01, $UBER ,Sector rotation lifts UBER in late trade
12/28/2023 10:13 AM,$CRM,CRM active in premarket as volume spikes
2020-05-01T10:00:00, $TSLA ,TSLA sees block trade interest — sources
2024/07/30 16:11:13,$UBER,UBER sees block trade interest — sources
04/27/2024 08:36 AM, $LYFT ,LYFT sees block trade interest — sources
2024-06-01 08:51:18, $GOOGL ,GOOGL sees block trade interest — sources
2024-05-21 08:41:57,$ABNB / $GOOGL,Sector rotation lifts ABNB in late trade
2023-06-01 13:15:06, $MSFT ,Analysts weigh in on MSFT ahead of macro data
2024-09-01 15:07:54,$ZZTOP,"""Sector rotation lifts CRM in late trade"""
05/01/2020 10:00 AM,LYFT,Funds trim exposure to LYFT after sector read-across
2024/06/10 09:10:00, $AAPL ,AAPL active in premarket as volume spikes
08-May-2024 09:18,lyft ,Sector rotation lifts LYFT in late trade
11/24/2023 11:31 AM, $CRM ,Analysts weigh in on CRM ahead of macro data
"Mar 04, 2023 14:47:18",$AMZN,AMZN options implied volatility elevated
2025-02-04 11:59:27, $UBER ,UBER sees block trade interest — sources
02/16/2024 01:36 PM, $AMZN ,AMZN active in premarket as volume spikes
2023-06-09 08:20:10, $CRM ,CRM moves on headline cross-asset flows
2023/05/10 06:32:03, $UBER ,UBER moves on headline cross-asset flows
2023/10/16 12:55:25, $UBER ,Funds trim exposure to UBER after sector read-across
2023-06-15 16:01:57,$ CRM $CRM,CRM active in premarket as volume spikes
2023-01-04 06:43:22, $TSLA ,TSLA moves on headline cross-asset flows
2024-05-14T13:18:57,$AMZN,AMZN options implied volatility elevated
28-Dec-2023 10:37, $AAPL ,AAPL sees block trade interest — sources
2024-06-13 15:53:23,$ TSLA $TSLA,TSLA sees block trade interest — sources
"Nov 10, 2023 16:04:31", $AMZN ,AMZN active in premarket as volume spikes
2024-07-26 11:39:31, $UBER ,UBER options implied volatility elevated
2023-05-23 06:55:08, $TSLA ,TSLA active in premarket as volume spikes
31-Jul-2023 07:12,$MSFT,MSFT moves on headline cross-asset flows
2023-05-13 08:09:02,$MSFT / $AAPL,Funds trim exposure to MSFT after sector read-across
2024-01-25 09:10:00,CRM,CRM active in premarket as volume spikes
2025-01-18 11:39:48,lyft ,Analysts weigh in on LYFT ahead of macro data
2023-06-01T10:49:12,UBER,UBER active in premarket as volume spikes
2025-02-26 12:47:43, $AAPL ,Analysts weigh in on AAPL ahead of macro data
2023-05-29 08:37:15, $GOOGL ,Analysts weigh in on GOOGL ahead of macro data
2025-01-02T15:07:22,$UBER / $META,UBER moves on headline cross-asset flows
"Jan 03, 2024 15:24:26",$ LYFT $LYFT,Analysts weigh in on LYFT ahead of macro data
2023-10-11T06:48:57, $UBER ,UBER moves on headline cross-asset flows
2023-05-07 11:50:44, $MSFT ,  Sector rotation lifts MSFT in late trade  
2023-06-26 08:40:08,CRM,CRM sees block trade interest — sources
2025-01-13 14:30:03,$ZZTOP,"Analysts weigh in on META ahead of macro data
( wire )"
"Oct 22, 2024 16:11:22",abnb ,Traders debate valuation for ABNB into quarter-end
2024-01-28 08:23:05,UBER,UBER moves on headline cross-asset flows
2024-02-21 13:58:27, $LYFT ,LYFT sees block trade interest — sources
2020/05/01 10:00:00,$ CRM $CRM,CRM moves on headline cross-asset flows
2023-04-19 14:30:05, $LYFT ,LYFT active in premarket as volume spikes
2023-12-25 07:49:31, $META ,Sector rotation lifts META in late trade
10/31/2024 07:47 AM, $TSLA ,"""Traders debate valuation for TSLA into quarter-end"""
2020-05-01 10:00:00,LYFT,LYFT sees block trade interest — sources
"Aug 18, 2024 12:30:16",$ABNB / $TSLA,"""Funds trim exposure to ABNB after sector read-across"""
01-May-2020 10:00, $ABNB ,Analysts weigh in on ABNB ahead of macro data
2023-03-06 09:34:27, $CRM ,
2020-05-01 10:00:00,lyft ,Traders debate valuation for LYFT into quarter-end
2025-03-07 12:10:07,tsla ,Sector rotation lifts TSLA in late trade
05/01/2020 10:00 AM, $ABNB ,Traders debate valuation for ABNB into quarter-end
"Sep 10, 2024 15:08:06",TSLA,Sector rotation lifts TSLA in late trade
03/23/2025 07:21 AM,$ META $META,META active in premarket as volume spikes
2025-03-01 10:33:20,META,Funds trim exposure to META after sector read-across
